query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
колеса для офисного кресла,колеса для офисного кресла,"['кресло', 'шины']",[],[],[],[],[],[],[],[],[],['furniture'],[],3
крабик для волос маленький набор,крабик для волос маленький набор,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
защитный борт на кровать от падения,защитный борт на кровать от падения,['кровать'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
матрас на качели садовые со спинкой 170,матрас на качели садовые со спинкой 170,"['качели', 'матрас']",[],[],['170 см'],[],[],[],[],[],[],['furniture'],[],4
пульт управления светом,пульт управления светом,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
крепление камеры на шлем тактический,крепление камеры на шлем тактический,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
футболка с тигром женская,футболка с тигром женская,['футболка'],[],[],[],[],[],[],[],['women'],[],['clothing'],[],3
шнурки резинки фиолетовые,шнурки резинки фиолетовые,[],[],['фиолетовый'],[],[],[],[],[],[],[],['footwear'],[],2
мусорное ведро с крышкой 5 л с педалью,мусорное ведро с крышкой 5 л с педалью,[],[],[],[],"[{'value': 5.0, 'unit': 'L', 'type': 'dimension'}]",[],[],[],[],[],['dishes'],[],2
ткань для простыня,ткань для простыня,['постельное белье'],[],[],[],[],[],[],[],[],[],['stationery'],[],2
флейта ди цзы,флейта ди цзы,[],[],[],[],[],[],[],[],[],[],['musical_instruments'],[],1
задний тормозной трос на электровелосипед,задний тормозной трос на электровелосипед,[],[],[],[],[],[],[],[],[],['electric'],['sports'],[],2
носки для ползания,носки для ползания,['носки'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
фар край 4 на playstation 4 диск,фар край 4 на playstation 4 диск,['компьютерная игра'],[],[],[],[],[],[],[],[],[],['games'],[],2
таз овальный пластиковый большой,таз овальный пластиковый большой,[],[],[],[],[],[],[],['пластик'],[],[],['dishes'],[],2
желе фруктовое ассорти,желе фруктовое ассорти,[],[],[],[],[],[],[],[],[],[],['food'],[],1
запчасти на воздушку,запчасти на воздушку,[],[],[],[],[],[],[],[],[],[],['household'],[],1
tp-link ac750,tp-link ac750,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
чехол на iphone 15 pro max лило и стич,чехол на iphone 15 pro max лило и стич,['чехол'],['лило и стич'],[],[],[],['iphone'],['15 pro max'],[],[],[],['electronics'],[],5
hp 1018 тонер,hp 1018 тонер,[],[],[],[],[],['hp'],[],[],[],[],['auto'],[],2
